state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.08,8.87327356240635e-09,8.87327356240635e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.09,9.351892049961734e-09,9.351892049961734e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.0,0.1,9.748318185092286e-09,9.748318185092286e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.0,-3.646716936501302e-21,3.646716936501302e-21,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.01,2.065929364168429e-09,2.065929364168429e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.02,4.0378956875324875e-09,4.0378956875324875e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.03,5.844474389508158e-09,5.844474389508158e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.04,7.44294937122137e-09,7.44294937122137e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.05,8.8203778450949e-09,8.8203778450949e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.06,9.987316152061903e-09,9.987316152061903e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.07,1.0968622259103172e-08,1.0968622259103172e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.08,1.1795021788214443e-08,1.1795021788214443e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.09,1.2497182523977272e-08,1.2497182523977272e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,1.5,0.1,1.3102428228898512e-08,1.3102428228898512e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.0,-2.78556212435756e-20,2.78556212435756e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.01,2.208058358826878e-09,2.208058358826878e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.02,4.317490209162187e-09,4.317490209162187e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.03,6.251126756511402e-09,6.251126756511402e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.04,7.963189738670294e-09,7.963189738670294e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.05,9.440314750593895e-09,9.440314750593895e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.06,1.0694505630115373e-08,1.0694505630115373e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.07,1.1753002518318032e-08,1.1753002518318032e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.08,1.2649121707315988e-08,1.2649121707315988e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.09,1.3415911017946777e-08,1.3415911017946777e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.0,0.1,1.4082691294538466e-08,1.4082691294538466e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.0,-4.3656699868377265e-20,4.3656699868377265e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.01,2.2728446136221323e-09,2.2728446136221323e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.02,4.444147509116083e-09,4.444147509116083e-09,True,
